"State","Quality of patient care star rating","How often the home health team began their patients’ care in a timely manner","How often the home health team taught patients (or their family caregivers) about their drugs","How often the home health team checked patients’ risk of falling","How often the home health team checked patients for depression","How often the home health team determined whether patients received a flu shot for the currnet flu season","How often the home health team made sure that their patients have received a pneumococcal vaccine (pneumonia shot)","With diabetes, how often the home health team got doctor’s orders, gave foot care, and taught patients about foot care","How often patients got better at walking or moving around","How often patients got better at getting in and out of bed","How often patients got better at bathing","How often patients had less pain when moving around","How often patients’ breathing improved","How often patients’ wounds improved or healed after an operation","How often patients got better at taking their drugs correctly by mouth","How often home health patients had to be admitted to the hospital","How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted"

"AK","2.5","81.3","97.0","99.5","93.3","66.6","79.2","97.6","60.3","57.0","62.1","58.0","61.9","86.5","47.5","14.4","16.1"

"AL","3.5","94.9","98.6","99.7","97.8","77.1","79.3","97.6","76.4","71.2","80.2","79.5","78.1","92.4","66.0","18.0","12.3"
"AR","3.5","95.2","97.4","99.7","98.5","77.6","82.0","97.1","75.7","73.1","80.6","77.5","76.0","92.7","66.1","18.4","13.9"
"AZ","3.5","94.9","98.4","99.6","97.9","77.2","81.6","97.9","68.4","68.0","74.8","73.4","75.1","86.9","60.1","14.6","14.1"
"CA","3.5","91.0","97.6","99.3","97.8","76.9","80.1","97.3","69.0","65.3","73.1","77.4","74.0","92.1","58.1","14.9","11.8"
"CO","3.5","94.7","96.7","99.5","97.7","81.7","86.4","96.7","71.7","69.6","77.9","73.7","77.3","92.1","60.8","15.3","14.8"
"CT","3.0","95.3","96.6","99.2","97.6","73.3","77.5","95.4","68.0","64.1","68.6","70.0","70.7","91.4","57.2","17.4","13.7"
"DC","3.0","90.3","91.8","98.7","95.8","75.5","74.7","95.4","73.8","72.6","77.3","78.1","87.1","94.2","72.1","16.0","13.1"
"DE","4.0","94.6","99.1","99.4","97.6","79.6","80.0","97.7","71.9","70.1","75.6","78.9","76.1","87.8","61.1","16.5","12.7"
"FL","3.5","96.0","97.6","99.6","98.1","73.3","74.8","95.9","74.0","70.8","78.9","79.1","74.8","93.0","63.7","15.9","11.0"
"GA","3.5","91.7","98.0","99.5","97.5","76.5","77.7","96.6","73.1","69.5","75.5","75.8","76.0","91.1","61.8","16.9","14.2"
"GU","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available","Not Available"
"HI","3.0","93.7","98.4","98.9","96.6","77.2","85.9","98.0","66.0","64.6","69.6","70.4","76.1","82.7","53.2","14.4","16.1"
"IA","3.0","94.6","97.0","99.5","98.2","80.4","87.3","96.7","71.2","69.2","74.4","72.2","71.2","88.0","61.1","17.2","14.1"
"ID","3.5","96.2","98.0","99.5","98.8","78.2","84.3","97.5","73.4","72.4","78.3","74.3","79.2","93.8","64.1","15.2","15.0"
"IL","3.0","94.1","97.7","99.3","98.2","68.4","72.1","97.4","69.6","66.4","73.1","76.9","72.7","88.1","61.7","16.3","11.9"
"IN","3.0","92.2","97.4","99.4","97.8","74.7","79.6","95.7","69.7","68.7","72.4","73.5","72.3","89.9","59.6","16.6","13.5"
"KS","3.0","94.7","97.2","99.4","98.3","82.0","87.2","96.9","70.5","68.7","75.6","72.6","70.9","89.8","60.0","17.7","12.9"
